city,district,postal_code,address,price_eur,living_area_sqm,rooms,floor,energy_efficiency_class,property_type
leipzig,Südost,04288,"Holzhausen, Südost (04288)",460000.0,191.8,5.0,2.0,C,house
hamburg,Mitte,20097,"St. Georg, Mitte (20097)",449000.0,62.2,2.0,1.0,D,apartment
berlin,Friedrichshain-Kreuzberg,10243,"Friedrichshain, Friedrichshain-Kreuzberg (10243)",370000.0,103.1,3.0,3.0,D,apartment
hamburg,Altona,22761,"Bahrenfeld, Altona (22761)",1180000.0,176.0,5.0,4.0,C,apartment
hamburg,Nord,22303,"Winterhude, Nord (22303)",698000.0,54.0,2.0,,C,apartment
hamburg,Mitte,20359,"St. Pauli, Mitte (20359)",649000.0,70.0,3.0,3.0,C,apartment
hamburg,Eimsbüttel,20146,"Rotherbaum, Eimsbüttel (20146)",1980000.0,248.0,7.0,5.0,E,apartment
berlin,Mitte,10557,"Moabit, Mitte (10557)",799000.0,153.0,5.0,5.0,G,apartment
berlin,Friedrichshain-Kreuzberg,10243,"Friedrichshain, Friedrichshain-Kreuzberg (10243)",429000.0,71.4,3.0,,C,apartment
berlin,Treptow-Köpenick,12489,"Adlershof, Treptow-Köpenick (12489)",189000.0,38.2,1.0,4.0,D,apartment
hamburg,Mitte,21107,"Wilhelmsburg, Mitte (21107)",209000.0,40.0,2.0,,F,apartment
hamburg,Nord,22299,"Winterhude, Nord (22299)",1750000.0,139.2,3.0,2.0,,apartment
leipzig,Nordwest,04159,"Wahren, Nordwest (04159)",157000.0,61.3,2.0,2.0,D,apartment
hamburg,Altona,22607,"Groß Flottbek, Altona (22607)",579000.0,88.0,3.0,4.0,E,apartment
berlin,Friedrichshain-Kreuzberg,10245,"Friedrichshain, Friedrichshain-Kreuzberg (10245)",730000.0,84.0,3.0,6.0,,apartment
hamburg,Eimsbüttel,20146,"Rotherbaum, Eimsbüttel (20146)",1500000.0,171.0,6.0,,E,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",99000.0,18.0,1.0,2.0,,apartment
berlin,Mitte,13359,"Gesundbrunnen, Mitte (13359)",242000.0,64.3,2.0,3.0,E,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",199000.0,53.0,2.0,5.0,D,apartment
berlin,Mitte,10553,"Moabit, Mitte (10553)",210000.0,42.0,1.0,3.0,F,apartment
leipzig,Nord,04155,"Gohlis-Mitte, Nord (04155)",160000.0,50.9,2.0,,,apartment
berlin,Mitte,10115,"Mitte, Mitte (10115)",498000.0,53.0,1.0,,,apartment
berlin,Friedrichshain-Kreuzberg,10249,"Friedrichshain, Friedrichshain-Kreuzberg (10249)",189000.0,32.9,1.0,3.0,D,apartment
berlin,Treptow-Köpenick,12557,"Köpenick, Treptow-Köpenick (12557)",170000.0,45.0,2.0,,D,apartment
berlin,Treptow-Köpenick,12459,"Oberschöneweide, Treptow-Köpenick (12459)",299000.0,72.9,2.0,1.0,D,apartment
berlin,Mitte,10963,"Tiergarten, Mitte (10963)",515000.0,59.1,2.0,5.0,D,apartment
hamburg,Mitte,21107,"Wilhelmsburg, Mitte (21107)",375000.0,77.0,3.0,2.0,,apartment
hamburg,Mitte,20457,"HafenCity, Mitte (20457)",880000.0,60.0,2.0,8.0,B,apartment
berlin,Friedrichshain-Kreuzberg,10249,"Friedrichshain, Friedrichshain-Kreuzberg (10249)",195000.0,33.0,1.0,,C,apartment
hamburg,Nord,22085,"Uhlenhorst, Nord (22085)",2499000.0,176.0,5.0,,B,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",799000.0,151.0,4.0,1.0,D,apartment
berlin,Treptow-Köpenick,12489,"Adlershof, Treptow-Köpenick (12489)",195000.0,60.4,2.0,2.0,C,apartment
berlin,Friedrichshain-Kreuzberg,10245,"Friedrichshain, Friedrichshain-Kreuzberg (10245)",600000.0,77.9,3.0,5.0,D,apartment
berlin,Friedrichshain-Kreuzberg,10245,"Friedrichshain, Friedrichshain-Kreuzberg (10245)",799000.0,106.3,3.0,,C,apartment
berlin,Mitte,13359,"Gesundbrunnen, Mitte (13359)",277000.0,73.3,2.0,2.0,E,apartment
leipzig,Nord,04155,"Gohlis-Süd, Nord (04155)",680000.0,140.0,5.0,,,apartment
leipzig,Nordwest,04159,"Wahren, Nordwest (04159)",129000.0,55.0,2.0,2.0,B,apartment
berlin,Friedrichshain-Kreuzberg,10247,"Friedrichshain, Friedrichshain-Kreuzberg (10247)",229000.0,47.0,1.0,,C,apartment
berlin,Friedrichshain-Kreuzberg,10247,"Friedrichshain, Friedrichshain-Kreuzberg (10247)",869000.0,109.0,3.0,5.0,C,apartment
berlin,Mitte,10559,"Moabit, Mitte (10559)",179000.0,33.0,1.0,,E,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",170000.0,53.0,2.0,3.0,,apartment
berlin,Mitte,10557,"Moabit, Mitte (10557)",149000.0,43.0,1.0,2.0,D,apartment
berlin,Mitte,10557,"Hansaviertel, Mitte (10557)",835000.0,121.0,3.0,,D,apartment
hamburg,Altona,22767,"Altona-Altstadt, Altona (22767)",599000.0,80.0,3.0,4.0,,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",330000.0,116.0,3.0,,,apartment
hamburg,Altona,22609,"Nienstedten, Altona (22609)",1650000.0,147.8,3.0,,A,apartment
hamburg,Mitte,20099,"St. Georg, Mitte (20099)",1498000.0,151.0,5.0,2.0,B,apartment
berlin,Mitte,10555,"Moabit, Mitte (10555)",300000.0,77.8,3.0,1.0,E,apartment
berlin,Mitte,10553,"Moabit, Mitte (10553)",450000.0,80.0,2.0,4.0,C,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",398000.0,121.0,4.0,,,apartment
berlin,Friedrichshain-Kreuzberg,10249,"Friedrichshain, Friedrichshain-Kreuzberg (10249)",650000.0,80.0,3.0,3.0,D,apartment
leipzig,Nordwest,04159,"Lützschena-Stahmeln, Nordwest (04159)",495000.0,90.0,3.0,,,apartment
leipzig,Nord,04155,"Gohlis-Süd, Nord (04155)",237000.0,62.0,2.0,,D,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",999000.0,145.5,4.0,2.0,,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",198000.0,74.0,3.0,3.0,,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",259000.0,63.0,2.0,1.0,C,apartment
hamburg,Mitte,20099,"St. Georg, Mitte (20099)",640000.0,100.0,4.0,,,apartment
leipzig,Nord,04157,"Gohlis-Mitte, Nord (04157)",328000.0,91.0,3.0,1.0,,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",165000.0,61.0,2.0,1.0,,apartment
hamburg,Mitte,22117,"Billstedt, Mitte (22117)",310000.0,70.0,3.5,,,apartment
berlin,Mitte,10559,"Moabit, Mitte (10559)",182000.0,37.0,1.0,4.0,D,apartment
berlin,Mitte,13359,"Gesundbrunnen, Mitte (13359)",258000.0,56.0,1.0,4.0,E,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",488000.0,148.0,5.0,,D,apartment
hamburg,Eimsbüttel,20255,"Eimsbüttel, Eimsbüttel (20255)",628000.0,70.0,3.0,3.0,,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",1120000.0,165.6,5.0,,,apartment
hamburg,Mitte,20099,"St. Georg, Mitte (20099)",779000.0,126.0,5.0,3.0,,apartment
hamburg,Mitte,20457,"HafenCity, Mitte (20457)",1050000.0,68.0,2.0,8.0,B,apartment
leipzig,Nord,04155,"Gohlis-Süd, Nord (04155)",950000.0,140.0,5.0,1.0,,apartment
berlin,Mitte,10551,"Moabit, Mitte (10551)",729000.0,110.0,3.0,5.0,D,apartment
